# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: one row per class. accessed_size is a LOWER BOUND (FillOutStructure cannot see untouched tail fields and drops any offset past 0x1000); ctor_size is the memset/allocation oracle - read size_confidence before believing it. vtable_rva is the first carved vtable any of the class's methods references: measured against the reviewed census in evidence/vtables/named.tsv it agrees 28/33, and every miss is the same failure mode - it picked up a single-inheritance BASE class's vtable (border->widget's, TGzFile->TAbstractFile's). Treat it as a lead for naming an unnamed vtable, not as a binding
class,accessed_size,ctor_size,memset_size,new_size,alloc_fn,alloc_sites,size_confidence,vtable_entries,vtable_rva,dc_size,dc_base,n_methods,n_from_vtable,n_probed,n_skipped,skipped_rvas
?$CAutoArray@VCDPlayAddressElement,0x14,,,,,,lower-bound,7,0x23de44,,,7,7,7,0,
?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std,0x10,,,,,,lower-bound,4,,,,2,2,1,0,
?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std,0x10,,,,,,lower-bound,4,,,,4,4,1,2,0x214350 0x2143c6
?$money_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std,,,,,,,lower-bound,3,,,,2,2,0,2,0x2143c9 0x2144f7
?$money_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std,,,,,,,lower-bound,3,,,,2,2,0,2,0x20f67a 0x20f7af
Bitmap16Bit,0x35,0x38,,0x38,0x216ed2,10,medium,3,0x23b9c8,0xb8,resource,14,3,12,1,0x4dd20
Bitmap24Bit,0x30,0x30,,0x30,0x216ed2,1,high,3,0x23b9f4,,,6,2,5,0,
Bitmap816,0x54,,,,,,lower-bound,4,0x23ba14,0xbc,resource,10,3,6,2,0x4fdb0 0x4fdf0
CAdvMgrNetMsgHandler,0xc,,,,,,lower-bound,5,,,,5,5,3,1,0x6bf0
CAdvPopup,0x5d,,,,,,lower-bound,15,0x23a6a8,0x58,CHeroWindowEx,4,2,3,0,
CAdventurMapChatEdit,0x71,,,,,,lower-bound,3,0x242d8c,0x74,CGameChatEdit,23,23,18,4,0x85d80 0x1543f0 0x1bc690 0x1bc7e0
CAutoArray<CDPlaySession>,0x14,,,,,,lower-bound,7,0x2400d8,0x14,,1,1,1,0,
CChatEdit,0x6f,,,,,,lower-bound,25,0x240e30,0x70,textEntryWidget,3,2,3,0,
CChatManager,0x25,,,,,,lower-bound,,,0x3c,,10,0,9,1,0x1544b0
CCombatChatEdit,0x71,,,,,,lower-bound,27,,,,4,4,4,0,
CDPlay,0x57,,,,,,lower-bound,62,0x23dc28,0x58,,51,51,46,4,0x96cc0 0x96cd0 0x97c50 0x981e0
CDPlayLobby,0x60,,,,,,lower-bound,7,0x23de44,0x60,CDPlay,12,12,11,0,
CHeroWindowEx,0x50,,,,,,lower-bound,14,0x243ce8,0x4c,heroWindow,8,0,6,1,0x1ff8d0
