# generator: python3 -m homm3.vc6.genab run --gen rtm-fe --all-units
# date: 2026-09-06
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - regenerate, never hand-edit
# sp3-c1xx: 12.00.8472 sha256 28c355499c2f8090910624734faff31fe719a69a8aac7dd44b2ce64addf96ee2 size 1196083 (pinned toolchain)
# sp3-c2: 12.00.8447 sha256 a0cc45f83fd0ed009aa4f43df5598105a1049ad9675de0b1089be7cce7d3c153 size 737329 (pinned toolchain)
# rtm-fe-c1xx: 12.00.8168.0 sha256 4095e9e8de5ac4b13dbfe310abb8de711475b1a92c5f94375919947937f3237e size 1183795 (staged ../orig/vc6-rtm/C1XX.DLL)
# rtm-fe-c2: 12.00.8168.0 sha256 45187b0b6288240f73272a7c61e6329c50048a76e57db3bb87b6f0229e09e27d size 737329 (staged ../orig/vc6-rtm/C2.DLL)
# generation: rtm-fe swaps C1XX.DLL, C2.DLL; every other pass is the pinned SP3 pressing
# metric: align = _align.distance (unpaired register-visible masked slots), flow = _flow.distance (branch-shape); verdict grades at align+flow==0 - REGISTER-VISIBLE+BRANCH-SHAPE, weaker than byte-exact (absolute addresses masked)
# retail_producer: delinked = build/objdiff/target/<unit>.c.obj (same disassembler both sides); capstone = image producer (cross-producer skew inflates distances)
# gen_attrib (rtm-fe only): back-end-only = this function's bytes are the same under the C2-only overlay, so the RTM FRONT end contributed nothing to its delta; front-end-contributes = C1XX 8168 changed it
# --all-units sweep: only functions whose two sides differ are listed; a unit absent here compiled byte-identically under both generations
fn	unit	rva	size	sp3_align	sp3_flow	rtm_align	rtm_flow	sp3_vs_rtm	gen_attrib	retail_producer	verdict	note
??0CAdvPopup@@QAE@HHHHI@Z	advmgr	0x1b040	0x9a	2	0	2	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
??0logic_error@std@@QAE@ABV01@@Z	advmgr	0x44e0	0x159	78	0	78	0	0	back-end-only	capstone	neither	RTM output identical to SP3 - not a generation wall
??0out_of_range@std@@QAE@ABV01@@Z	advmgr	0x4700	0x157	72	0	72	0	0	back-end-only	capstone	neither	RTM output identical to SP3 - not a generation wall
??1CAdvPopup@@UAE@XZ	advmgr	0x1b120	0x67	2	0	2	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?DoAdventureOptions@advManager@@QAEXXZ	advmgr	0x1ab00	0xf8	16	0	16	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?DoSystemOptions@advManager@@QAEEXZ	advmgr	0x1ac00	0x1ac	18	0	18	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?GetSoundId@advManager@@QAE?AW4e_looping_sound_id@@HHH@Z	advmgr	0x18620	0x5e4	440	8	440	8	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?HeroQuickView@advManager@@QAEXHHHE@Z	advmgr	0x16590	0x210	2	0	2	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?LoadRemote@advManager@@QAEXE@Z	advmgr	0x1a100	0xd9	4	0	4	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?MonsterQuickView@advManager@@QAEXPBVNewmapCell@@HH@Z	advmgr	0x17150	0x2c9	2	0	2	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?MoreTreesNear@advManager@@QAEHUtype_point@@@Z	advmgr	0x1adb0	0x25f	35	0	35	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?OverrideBottomView@advManager@@QAEXW4EBottomViewType@1@H@Z	advmgr	0x15d60	0x78	15	0	15	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?QuickInfo@advManager@@QAEXHHH@Z	advmgr	0x137c0	0x25a0	436	388	507	309	482	back-end-only	delinked	neither	RTM closer (816 vs 824)
?SaveGame@@YIEE@Z	advmgr	0x18160	0x270	2	0	2	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?ScreenScroll@advManager@@QAEXHH@Z	advmgr	0x195c0	0x258	47	0	47	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?TownQuickView@advManager@@QAEXHHHE@Z	advmgr	0x167a0	0x7db	140	0	140	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?UpdBottomView@advManager@@QAEXEEE@Z	advmgr	0x15de0	0x140	16	0	16	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
?UpdBottomViewEnemyTurn@advManager@@QAEEE@Z	advmgr	0x15f20	0x87	2	0	2	0	0	back-end-only	delinked	neither	RTM output identical to SP3 - not a generation wall
