# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: every method that fed (or failed to feed) a class union - the audit trail behind struct_layouts.csv; `src` is the naming corpus that attributed the address to the class
class,rva,name,src,outcome
?$CAutoArray@VCDPlayAddressElement,0x99fc0,?$CAutoArray@VCDPlayAddressElement::vslot2,vtable-slot,probed:2
?$CAutoArray@VCDPlayAddressElement,0x99fe0,?$CAutoArray@VCDPlayAddressElement::vslot3,vtable-slot,probed:2
?$CAutoArray@VCDPlayAddressElement,0x9a010,?$CAutoArray@VCDPlayAddressElement::vslot6,vtable-slot,probed:1
?$CAutoArray@VCDPlayAddressElement,0x9a020,?$CAutoArray@VCDPlayAddressElement::vslot0,vtable-slot,probed:4
?$CAutoArray@VCDPlayAddressElement,0x1125d0,?$CAutoArray@VCDPlayAddressElement::vslot4,vtable-slot,probed:2
?$CAutoArray@VCDPlayAddressElement,0x112610,?$CAutoArray@VCDPlayAddressElement::vslot5,vtable-slot,probed:3
?$CAutoArray@VCDPlayAddressElement,0x158410,?$CAutoArray@VCDPlayAddressElement::vslot1,vtable-slot,probed:5
?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std,0x214355,?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std::vslot2,vtable-slot,probed:2
?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std,0x214c0a,?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std::vslot0,vtable-slot,probed:0
?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std,0x20f609,?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std::vslot2,vtable-slot,probed:2
?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std,0x20fee1,?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std::vslot0,vtable-slot,probed:0
?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std,0x214350,?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std::vslot1,vtable-slot,decompile-failed
