# Hand-maintained ledger for `homm3 vc6 queue --smallest`.
# One row is added after five scored candidates, or after an ownership evidence
# pass proves that no defensible source candidate can yet be compiled.
rva	size	state	attempts	best_fuzzy	bank_commit	unit	function	reason
0x2039a0	32	external-library	0	-	-	pcx	Victor image-descriptor validation wrapper	All three callers and the callee lie in the unmapped Victor Image Processing Library band; the body special-cases the one-bit bitmap result after Victor's internal descriptor validator, but the commercial library source and its distinct compiler profile are unavailable, so admitting it as project source would invent ownership.
0x4c29	33	excluded-funclet	0	-	-	adventuremapwindow	std::basic_string<char>::_Copy catch handler	The only reference is the EH handler table for _Copy at 0x00404bd0; this range reads that parent's EBP locals and returns continuation 0x00404c4a inside the same parent, so it is a compiler catch funclet rather than an independently matchable source function.
0xe6750	33	unresolved-owner	0	-	-	hero	three-reference signed clamp	Retail proves clamp(lo,value,hi) returning one incoming reference; the link-order THeroScreenWindow deleting-destructor label is false, no evidence names the helper or owning header, and the documented definition negative control forces incompatible inline decisions in hero and viewarmywindow callers, so a source claim would invent ownership.
0x183ec0	33	excluded-dead-comdat	0	-	-	singleselectionwindow	CNewPlayerUpdateTask scalar deleting destructor	Whole-image evidence recorded beside the existing claim proves retail kept this unreferenced COMDAT, while the source-proven novtable non-virtual task interface cannot emit it; making the destructor virtual or removing novtable changes the exact task destructor and widens both concrete three-slot vtables.
0xcfec0	35	compiler-state-boundary	0	-	-	game	std::vector<type_map_hero_identity>::_Destroy	The body is the ordinary 0x14-stride destructor loop and the existing claim is correct, but VC6 expands it inside readMapPlayerSlot instead of emitting the COMDAT. Existing source evidence records that a TU-local derived access view retained this call and std::copy but wrongly changed the member type and regressed an exact cross-TU destructor; natural emission depends on resolving that caller's nested inliner boundary.
0x203590	37	external-library	0	-	-	-	PCX allocimage wrapper	The pinned PCX dossier identifies this as the vendor allocimage(imgdes*, int, int, int) wrapper: it appends global state 0x6abaa4 and calls the 470-byte worker at 0x6035c0. The whole 0x603590..0x604823 tail is external PCX library code, outside the game-source reconstruction queue.
0x132790	39	compiler-state-boundary	27	85.1765	-	rmg	shared concrete-adapter getSize	Both concrete adapter declarations and the shared ICF representative are admitted. Twenty-two further value/reference/assignment/component controls preserve the 85.1765% named-result peak; direct return scores 84.6471%. Remaining differences concern the returned temporary registers.
0x132240	21	compiler-state-boundary	5	97.5556	-	rmg	type_random_map::getSize	Five natural direct, named-result, constructed-result, assigned-result, and member-hoist forms preserve the hidden-return ABI and all stores but VC6 schedules the hidden result load after the width load; the historical 100% checkpoint is banked and current callers must retain their proven shared-header state.
0x1095a0	51	compiler-state-boundary	77	-	-	mapcell	std::copy<garrison>	After removing NewfullMap::load's synthetic resize wrapper, inline-depth pin and unattested VERIFY, 45 valid seer lifetime/public-API controls plus 32 scope/loop controls emit no standalone copy specialization. The recovered caller reaches 77.26911%; its former 93.4037% remains in HIST. Retail expands the proven garrison clear through erase/copy but retains later seer resize/size calls; those natural nested decisions remain unresolved.
0x1166e0	52	compiler-state-boundary	0	-	-	objecttype	std::bitset<10>::test	Retail retains the ordinary bounds-checked test used by RMG placement, but every admitted bitset<10> call site expands it and no base object emits the symbol. Natural retention therefore depends on recovering the placement caller's inliner state rather than adding an emission anchor.
0x2045e0	52	external-library	0	-	-	pcx	PCX planar byte conversion loop	This function and its sole caller at 0x603e00 lie in the pinned 0x603590..0x604823 Victor/PCX external-library tail. Admitting it as game source would assign commercial library code to the wrong compiler profile.
0xe5960	56	compiler-state-boundary	21	99.5833	-	hero	hero::getPrimarySkillTotal	Dreamcast proves the four-iteration GetPrimarySkill sum and retail agrees in CFG and every instruction. More than five declaration, loop, accessor, and local-lifetime controls remain byte-flat at the sole commutative scale-1 SIB base/index encoding, so the residual belongs in the register-allocation bank. A further 16-candidate source batch retained the same peak; controls are recorded beside the function.
